Diagnostico_Codigo;Diagnostico_Desc
9;DIAGNÓSTICO PENDIENTE
N649;TRASTORNO DE LA MAMA, NO ESPECIFICADO
R529;DOLOR, NO ESPECIFICADO
Z108;OTROS CONTROLES GENERALES DE SALUD DE RUTINA DE OTRAS SUBPOBLACIONES DEFINIDAS
R072;DOLOR PRECORDIAL
S934;ESGUINCES Y TORCEDURAS DEL TOBILLO
H409;GLAUCOMA, NO ESPECIFICADO
R101;DOLOR ABDOMINAL LOCALIZADO EN PARTE SUPERIOR
Z017;EXAMEN DE LABORATORIO
Z321;EMBARAZO CONFIRMADO
Z011;EXAMEN DE OÍDOS Y DE LA AUDICIÓN
S523;FRACTURA DE LA DIÁFISIS DEL RADIO
E119;DIABETES MELLITUS NO INSULINODEPENDIENTE, SIN MENCIÓN DE COMPLICACIÓN
D093;CARCINOMA IN SITU DE LA GLÁNDULA TIROIDES Y DE OTRAS GLÁNDULAS ENDOCRINAS
E039;HIPOTIROIDISMO, NO ESPECIFICADO
K295;GASTRITIS CRÓNICA, NO ESPECIFICADA
E668;OTROS TIPOS DE OBESIDAD
T140;TRAUMATISMO SUPERFICIAL DE REGIÓN NO ESPECIFICADA DEL CUERPO
E109;DIABETES MELLITUS INSULINODEPENDIENTE, SIN MENCIÓN DE COMPLICACIÓN
N993;PROLAPSO DE LA CÚPULA VAGINAL DESPUÉS DE HISTERECTOMÍA
L998;OTROS TRASTORNOS DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
Z014;EXAMEN GINECOLÓGICO (GENERAL) (DE RUTINA)
M544;LUMBAGO CON CIÁTICA
H024;BLEFAROPTOSIS
N201;CÁLCULO DEL URÉTER
J343;HIPERTROFIA DE LOS CORNETES NASALES
T07X;TRAUMATISMOS MÚLTIPLES, NO ESPECIFICADOS
K297;GASTRITIS, NO ESPECIFICADA
E146;DIABETES MELLITUS, NO ESPECIFICADA, CON OTRAS COMPLICACIONES ESPECIFICADAS
L650;PÉRDIDA CAPILAR TELÓGENA
R002;PALPITACIONES
E108;DIABETES MELLITUS INSULINODEPENDIENTE, CON COMPLICACIONES NO ESPECIFICADAS
Z018;OTROS EXÁMENES ESPECIALES ESPECIFICADOS
H045;ESTENOSIS E INSUFICIENCIA DE LAS VÍAS LAGRIMALES
N906;HIPERTROFIA DE LA VULVA
J342;DESVIACIÓN DEL TABIQUE NASAL
L82X;QUERATOSIS SEBORREICA
H903;HIPOACUSIA NEUROSENSORIAL, BILATERAL
S636;ESGUINCES Y TORCEDURAS DE DEDO(S) DE LA MANO
G473;APNEA DEL SUEÑO
E138;DIABETES MELLITUS ESPECIFICADA, CON COMPLICACIONES NO ESPECIFICADAS
N300;CISTITIS AGUDA
I10X;HIPERTENSIÓN ESENCIAL (PRIMARIA)
B07X;VERRUGAS VÍRICAS
C162;TUMOR MALIGNO DEL CUERPO DEL ESTÓMAGO
H402;GLAUCOMA PRIMARIO DE ÁNGULO CERRADO
E018;OTROS TRASTORNOS DE LA TIROIDES RELACIONADOS CON DEFICIENCIA DE YODO Y AFECCIONES SIMILARES
Z618;PROBLEMAS RELACIONADOS CON OTRAS EXPERIENCIAS NEGATIVAS EN LA INFANCIA
D239;TUMOR BENIGNO DE LA PIEL, SITIO NO ESPECIFICADO
C029;TUMOR MALIGNO DE LA LENGUA, PARTE NO ESPECIFICADA
R688;OTROS SÍNTOMAS Y SIGNOS GENERALES ESPECIFICADOS
Z518;OTRAS ATENCIONES MÉDICAS ESPECIFICADAS
I500;INSUFICIENCIA CARDÍACA CONGESTIVA
J068;OTRAS INFECCIONES AGUDAS DE SITIOS MÚLTIPLES DE LAS VÍAS RESPIRATORIAS SUPERIORES
H333;DESGARRO DE LA RETINA SIN DESPRENDIMIENTO
